words	frequency	left-entropy	right-entropy	combinality
省 	 2205 	 5.340869 	 7.049573 	 0 	 
还 	 2184 	 6.302708 	 6.312880 	 0 	 
增 	 2183 	 6.305026 	 3.351171 	 0 	 
已 	 2181 	 7.499648 	 6.297441 	 0 	 
基 	 2166 	 6.458301 	 3.232718 	 0 	 
记者 	 2158 	 3.455214 	 6.800401 	 0 	 
海 	 2152 	 5.857062 	 6.683309 	 0 	 
人民 	 2149 	 5.642677 	 5.863534 	 0 	 
使 	 2147 	 5.265505 	 7.123276 	 0 	 
管 	 2140 	 6.733914 	 3.678221 	 0 	 
最 	 2140 	 6.386564 	 5.197494 	 0 	 
今 	 2134 	 5.486385 	 3.136059 	 0 	 
名 	 2131 	 5.831510 	 7.265959 	 0 	 
术 	 2123 	 1.886175 	 6.751365 	 0 	 
统 	 2121 	 4.184189 	 5.696241 	 0 	 
立 	 2119 	 4.808565 	 6.442024 	 0 	 
南 	 2115 	 5.624357 	 6.228881 	 0 	 
结 	 2105 	 6.452925 	 4.057104 	 0 	 
并 	 2093 	 4.192879 	 7.209399 	 0 	 
技 	 2088 	 4.761866 	 4.008180 	 0 	 
些 	 2080 	 2.368148 	 7.975851 	 0 	 
正 	 2078 	 6.633730 	 5.761633 	 0 	 
应 	 2077 	 6.133568 	 6.278789 	 0 	 
社会 	 2072 	 5.885909 	 5.132685 	 0 	 
持 	 2054 	 3.642027 	 6.422445 	 0 	 
交 	 2051 	 6.689367 	 5.391618 	 0 	 
安 	 2040 	 6.449445 	 5.522716 	 0 	 
一个 	 2034 	 5.506900 	 7.966535 	 0 	 
我们 	 2027 	 3.790649 	 7.095217 	 0 	 
点 	 1998 	 5.583544 	 5.739635 	 0 	 
性 	 1979 	 7.362288 	 5.794740 	 0 	 
西 	 1978 	 5.874858 	 6.285609 	 0 	 
市场 	 1973 	 6.701500 	 5.742577 	 0 	 
东 	 1972 	 5.903820 	 6.100324 	 0 	 
任 	 1965 	 5.398190 	 5.470196 	 0 	 
共 	 1962 	 5.857482 	 4.941315 	 0 	 
联 	 1960 	 7.082862 	 4.539844 	 0 	 
由 	 1960 	 5.100802 	 6.157202 	 0 	 
解 	 1957 	 6.065361 	 3.933900 	 0 	 
界 	 1943 	 2.687697 	 6.522020 	 0 	 
教 	 1933 	 6.969783 	 4.078515 	 0 	 
组 	 1933 	 6.817348 	 3.635333 	 0 	 
保 	 1929 	 6.652310 	 4.461891 	 0 	 
治 	 1929 	 3.910918 	 5.849940 	 0 	 
院 	 1914 	 4.225369 	 6.811411 	 0 	 
司 	 1913 	 1.511321 	 6.721050 	 0 	 
队 	 1908 	 6.096505 	 6.231751 	 0 	 
决 	 1903 	 4.760602 	 5.448517 	 0 	 
意 	 1900 	 6.459400 	 5.543272 	 0 	 
程 	 1898 	 3.445268 	 4.958778 	 0 	 
及 	 1891 	 6.380095 	 7.391421 	 0 	 
门 	 1874 	 3.774665 	 6.937291 	 0 	 
期 	 1862 	 5.558436 	 6.191257 	 0 	 
情 	 1857 	 6.288607 	 4.743244 	 0 	 
调 	 1857 	 5.760830 	 4.724716 	 0 	 
取 	 1854 	 5.747623 	 5.492132 	 0 	 
达 	 1845 	 6.817647 	 4.555884 	 0 	 
村 	 1838 	 5.104766 	 6.557646 	 0 	 
义 	 1836 	 2.561384 	 5.666283 	 0 	 
间 	 1835 	 4.246001 	 6.131481 	 0 	 
量 	 1829 	 4.434169 	 6.302162 	 0 	 
团 	 1827 	 4.938413 	 6.133684 	 0 	 
建设 	 1823 	 5.854981 	 5.475379 	 0 	 
此 	 1821 	 4.325253 	 5.992506 	 0 	 
张 	 1820 	 4.240851 	 6.641449 	 0 	 
局 	 1812 	 6.147447 	 6.340089 	 0 	 
如 	 1809 	 5.171274 	 5.630023 	 0 	 
干 	 1808 	 6.562963 	 3.600701 	 0 	 
战 	 1798 	 6.870047 	 4.664068 	 0 	 
据 	 1780 	 1.997129 	 5.828175 	 0 	 
广 	 1779 	 6.169295 	 4.358289 	 0 	 
议 	 1758 	 3.315386 	 5.444055 	 0 	 
书 	 1745 	 5.894875 	 4.800785 	 0 	 
收 	 1732 	 6.716637 	 5.260196 	 0 	 
革 	 1720 	 2.180729 	 4.623727 	 0 	 
问题 	 1714 	 6.351821 	 3.759259 	 0 	 
因 	 1687 	 4.608384 	 5.046662 	 0 	 
把 	 1684 	 5.850246 	 7.896575 	 0 	 
际 	 1682 	 1.421714 	 6.608411 	 0 	 
路 	 1679 	 5.774851 	 5.901858 	 0 	 
步 	 1670 	 3.812598 	 6.456089 	 0 	 
计 	 1648 	 5.870558 	 4.659157 	 0 	 
山 	 1645 	 7.027856 	 6.285333 	 0 	 
然 	 1635 	 4.403559 	 6.560734 	 0 	 
二 	 1634 	 4.564484 	 5.267481 	 0 	 
集 	 1632 	 7.007208 	 3.733019 	 0 	 
政府 	 1626 	 5.725929 	 6.964332 	 0 	 
比 	 1621 	 6.510528 	 5.221047 	 0 	 
育 	 1619 	 2.177862 	 6.579661 	 0 	 
相 	 1617 	 7.539549 	 5.701384 	 0 	 
全国 	 1614 	 4.918331 	 6.365108 	 0 	 
公司 	 1612 	 6.478380 	 6.741206 	 0 	 
放 	 1612 	 4.733637 	 5.931712 	 0 	 
江 	 1607 	 5.163270 	 5.019566 	 0 	 
北京 	 1607 	 4.176898 	 4.861330 	 0 	 
志 	 1600 	 3.464305 	 6.345263 	 0 	 
价 	 1598 	 6.476920 	 4.604805 	 0 	 
办 	 1597 	 6.567557 	 5.206390 	 0 	 
先 	 1590 	 6.436074 	 5.221164 	 0 	 
举 	 1588 	 6.563713 	 4.111870 	 0 	 
信 	 1581 	 6.433062 	 5.194310 	 0 	 
亚 	 1577 	 5.108514 	 6.090917 	 0 	 
众 	 1573 	 2.333159 	 6.526258 	 0 	 
物 	 1568 	 6.025302 	 5.710485 	 0 	 
口 	 1567 	 4.607889 	 6.841010 	 0 	 
项 	 1564 	 5.339223 	 5.331478 	 0 	 
更 	 1558 	 6.341575 	 5.393666 	 0 	 
