words	frequency	left-entropy	right-entropy	combinality
本外 	 6 	 1.459148 	 2.251629 	 0 	 
杨志 	 6 	 1.459148 	 2.251629 	 0 	 
杯赛 	 6 	 1.459148 	 2.251629 	 0 	 
极有 	 6 	 1.459148 	 2.251629 	 0 	 
求对 	 6 	 1.459148 	 2.251629 	 0 	 
珊瑚 	 6 	 1.459148 	 2.251629 	 0 	 
甲醛 	 6 	 1.459148 	 2.251629 	 0 	 
界是 	 6 	 1.459148 	 2.251629 	 0 	 
疗和 	 6 	 1.459148 	 2.251629 	 0 	 
白石 	 6 	 1.459148 	 2.251629 	 0 	 
研室 	 6 	 1.459148 	 2.251629 	 0 	 
算在 	 6 	 1.459148 	 2.251629 	 0 	 
统都 	 6 	 1.459148 	 2.251629 	 0 	 
续到 	 6 	 1.459148 	 2.251629 	 0 	 
脉的 	 6 	 1.459148 	 2.251629 	 0 	 
行定 	 6 	 1.459148 	 2.251629 	 0 	 
西等 	 6 	 1.459148 	 2.251629 	 0 	 
见我 	 6 	 1.459148 	 2.251629 	 0 	 
许有 	 6 	 1.459148 	 2.251629 	 0 	 
设电 	 6 	 1.459148 	 2.251629 	 0 	 
象在 	 6 	 1.459148 	 2.251629 	 0 	 
路在 	 6 	 1.459148 	 2.251629 	 0 	 
追寻 	 6 	 1.459148 	 2.251629 	 0 	 
通与 	 6 	 1.459148 	 2.251629 	 0 	 
长穆 	 6 	 1.459148 	 2.251629 	 0 	 
长谢 	 6 	 1.459148 	 2.251629 	 0 	 
队要 	 6 	 1.459148 	 2.251629 	 0 	 
高在 	 6 	 1.459148 	 2.251629 	 0 	 
刘志军 	 6 	 1.459148 	 1.918296 	 0.0005715746882661733 	 
锦标赛的 	 6 	 1.459148 	 1.918296 	 0.0003190933879982208 	 
徐悲鸿 	 6 	 1.459148 	 1.918296 	 0.00014665403185776816 	 
乌拉圭 	 6 	 1.459148 	 1.918296 	 0.00010529007415429508 	 
挫伤了 	 6 	 1.459148 	 1.918296 	 3.8857051175989855e-05 	 
业法 	 6 	 1.459148 	 1.918296 	 0 	 
个梦 	 6 	 1.459148 	 1.918296 	 0 	 
么高 	 6 	 1.459148 	 1.918296 	 0 	 
事地 	 6 	 1.459148 	 1.918296 	 0 	 
全应 	 6 	 1.459148 	 1.918296 	 0 	 
力成 	 6 	 1.459148 	 1.918296 	 0 	 
动多 	 6 	 1.459148 	 1.918296 	 0 	 
勘验 	 6 	 1.459148 	 1.918296 	 0 	 
即发 	 6 	 1.459148 	 1.918296 	 0 	 
史及 	 6 	 1.459148 	 1.918296 	 0 	 
娘家 	 6 	 1.459148 	 1.918296 	 0 	 
幅画 	 6 	 1.459148 	 1.918296 	 0 	 
式由 	 6 	 1.459148 	 1.918296 	 0 	 
律性 	 6 	 1.459148 	 1.918296 	 0 	 
得丰 	 6 	 1.459148 	 1.918296 	 0 	 
戈尔 	 6 	 1.459148 	 1.918296 	 0 	 
据是 	 6 	 1.459148 	 1.918296 	 0 	 
擀皮 	 6 	 1.459148 	 1.918296 	 0 	 
期而 	 6 	 1.459148 	 1.918296 	 0 	 
次官 	 6 	 1.459148 	 1.918296 	 0 	 
气也 	 6 	 1.459148 	 1.918296 	 0 	 
法改 	 6 	 1.459148 	 1.918296 	 0 	 
示他 	 6 	 1.459148 	 1.918296 	 0 	 
等电 	 6 	 1.459148 	 1.918296 	 0 	 
系国 	 6 	 1.459148 	 1.918296 	 0 	 
继日 	 6 	 1.459148 	 1.918296 	 0 	 
长万 	 6 	 1.459148 	 1.918296 	 0 	 
院建 	 6 	 1.459148 	 1.918296 	 0 	 
驻阿 	 6 	 1.459148 	 1.918296 	 0 	 
吸引更多的 	 6 	 1.459148 	 1.792481 	 0.000936956314646852 	 
青年男 	 6 	 1.459148 	 1.792481 	 0.0009218253431059712 	 
比较完善的 	 6 	 1.459148 	 1.792481 	 0.0008707918887964915 	 
演出队 	 6 	 1.459148 	 1.792481 	 0.0007270028929701328 	 
刘忠德 	 6 	 1.459148 	 1.792481 	 0.00042868101619963 	 
男排和 	 6 	 1.459148 	 1.792481 	 0.0004125651885229522 	 
贸易与 	 6 	 1.459148 	 1.792481 	 0.00040862576397976424 	 
免税店 	 6 	 1.459148 	 1.792481 	 0.00014074489504298628 	 
殖民地 	 6 	 1.459148 	 1.792481 	 5.157064856536902e-05 	 
戈壁滩上 	 6 	 1.459148 	 1.792481 	 2.1487770235570426e-05 	 
上十 	 6 	 1.459148 	 1.792481 	 0 	 
个外 	 6 	 1.459148 	 1.792481 	 0 	 
中居 	 6 	 1.459148 	 1.792481 	 0 	 
二版 	 6 	 1.459148 	 1.792481 	 0 	 
代工 	 6 	 1.459148 	 1.792481 	 0 	 
以会 	 6 	 1.459148 	 1.792481 	 0 	 
克强 	 6 	 1.459148 	 1.792481 	 0 	 
合下 	 6 	 1.459148 	 1.792481 	 0 	 
堂堂 	 6 	 1.459148 	 1.792481 	 0 	 
塔纳 	 6 	 1.459148 	 1.792481 	 0 	 
多深 	 6 	 1.459148 	 1.792481 	 0 	 
大哥 	 6 	 1.459148 	 1.792481 	 0 	 
大总 	 6 	 1.459148 	 1.792481 	 0 	 
存与 	 6 	 1.459148 	 1.792481 	 0 	 
属下 	 6 	 1.459148 	 1.792481 	 0 	 
开战 	 6 	 1.459148 	 1.792481 	 0 	 
我踏 	 6 	 1.459148 	 1.792481 	 0 	 
数比 	 6 	 1.459148 	 1.792481 	 0 	 
断出 	 6 	 1.459148 	 1.792481 	 0 	 
曼的 	 6 	 1.459148 	 1.792481 	 0 	 
浇地 	 6 	 1.459148 	 1.792481 	 0 	 
用字 	 6 	 1.459148 	 1.792481 	 0 	 
电不 	 6 	 1.459148 	 1.792481 	 0 	 
的悠 	 6 	 1.459148 	 1.792481 	 0 	 
终以 	 6 	 1.459148 	 1.792481 	 0 	 
能买 	 6 	 1.459148 	 1.792481 	 0 	 
赛也 	 6 	 1.459148 	 1.792481 	 0 	 
部能 	 6 	 1.459148 	 1.792481 	 0 	 
陈飞 	 6 	 1.459148 	 1.792481 	 0 	 
项全 	 6 	 1.459148 	 1.792481 	 0 	 
肘 	 6 	 1.459148 	 1.792481 	 0 	 
意进 	 6 	 1.459148 	 1.584963 	 0 	 
时国 	 6 	 1.459148 	 1.584963 	 0 	 
球星 	 6 	 1.459148 	 1.584963 	 0 	 
把握正确 	 6 	 1.459148 	 1.459148 	 0.0009046351269175149 	 
迎新春文艺 	 6 	 1.459148 	 1.459148 	 0.000863629298717968 	 
更加突出的 	 6 	 1.459148 	 1.459148 	 0.000836948650675468 	 
宗教事务 	 6 	 1.459148 	 1.459148 	 0.000790481347541047 	 
武警部队的 	 6 	 1.459148 	 1.459148 	 0.0005271666297793278 	 
脑血管 	 6 	 1.459148 	 1.459148 	 0.00047273094518254934 	 
夏季奥运会 	 6 	 1.459148 	 1.459148 	 0.00018622734204161036 	 
不败 	 6 	 1.459148 	 1.459148 	 0 	 
举国 	 6 	 1.459148 	 1.459148 	 0 	 
争实 	 6 	 1.459148 	 1.459148 	 0 	 
于冷 	 6 	 1.459148 	 1.459148 	 0 	 
们往 	 6 	 1.459148 	 1.459148 	 0 	 
件之 	 6 	 1.459148 	 1.459148 	 0 	 
件棉 	 6 	 1.459148 	 1.459148 	 0 	 
入九 	 6 	 1.459148 	 1.459148 	 0 	 
入正 	 6 	 1.459148 	 1.459148 	 0 	 
出话 	 6 	 1.459148 	 1.459148 	 0 	 
分东 	 6 	 1.459148 	 1.459148 	 0 	 
力协 	 6 	 1.459148 	 1.459148 	 0 	 
加自 	 6 	 1.459148 	 1.459148 	 0 	 
务进 	 6 	 1.459148 	 1.459148 	 0 	 
动行 	 6 	 1.459148 	 1.459148 	 0 	 
励大 	 6 	 1.459148 	 1.459148 	 0 	 
化协 	 6 	 1.459148 	 1.459148 	 0 	 
名同 	 6 	 1.459148 	 1.459148 	 0 	 
国油 	 6 	 1.459148 	 1.459148 	 0 	 
型演 	 6 	 1.459148 	 1.459148 	 0 	 
大复 	 6 	 1.459148 	 1.459148 	 0 	 
大灾 	 6 	 1.459148 	 1.459148 	 0 	 
天再 	 6 	 1.459148 	 1.459148 	 0 	 
定首 	 6 	 1.459148 	 1.459148 	 0 	 
尼人 	 6 	 1.459148 	 1.459148 	 0 	 
展才 	 6 	 1.459148 	 1.459148 	 0 	 
市供 	 6 	 1.459148 	 1.459148 	 0 	 
幕前 	 6 	 1.459148 	 1.459148 	 0 	 
张中 	 6 	 1.459148 	 1.459148 	 0 	 
当这 	 6 	 1.459148 	 1.459148 	 0 	 
快进 	 6 	 1.459148 	 1.459148 	 0 	 
斯中 	 6 	 1.459148 	 1.459148 	 0 	 
施有 	 6 	 1.459148 	 1.459148 	 0 	 
日投 	 6 	 1.459148 	 1.459148 	 0 	 
是虎 	 6 	 1.459148 	 1.459148 	 0 	 
期作 	 6 	 1.459148 	 1.459148 	 0 	 
界关 	 6 	 1.459148 	 1.459148 	 0 	 
直销 	 6 	 1.459148 	 1.459148 	 0 	 
种学 	 6 	 1.459148 	 1.459148 	 0 	 
者专 	 6 	 1.459148 	 1.459148 	 0 	 
育科 	 6 	 1.459148 	 1.459148 	 0 	 
自内 	 6 	 1.459148 	 1.459148 	 0 	 
要决 	 6 	 1.459148 	 1.459148 	 0 	 
部股 	 6 	 1.459148 	 1.459148 	 0 	 
间联 	 6 	 1.459148 	 1.459148 	 0 	 
阿依 	 6 	 1.459148 	 1.459148 	 0 	 
高上 	 6 	 1.459148 	 1.459148 	 0 	 
藻 	 6 	 1.459148 	 1.459148 	 0 	 
办案期限 	 6 	 1.459148 	 1.251629 	 0.0008578992266551493 	 
售房收入 	 6 	 1.459148 	 1.251629 	 0.000649288790618153 	 
驻马店 	 6 	 1.459148 	 1.251629 	 0.00026000201985040215 	 
压岁钱 	 6 	 1.459148 	 1.251629 	 0.00017243935614045267 	 
于交 	 6 	 1.459148 	 1.251629 	 0 	 
些东 	 6 	 1.459148 	 1.251629 	 0 	 
产事 	 6 	 1.459148 	 1.251629 	 0 	 
产价 	 6 	 1.459148 	 1.251629 	 0 	 
元不 	 6 	 1.459148 	 1.251629 	 0 	 
史教 	 6 	 1.459148 	 1.251629 	 0 	 
名警 	 6 	 1.459148 	 1.251629 	 0 	 
四天 	 6 	 1.459148 	 1.251629 	 0 	 
国式 	 6 	 1.459148 	 1.251629 	 0 	 
多市 	 6 	 1.459148 	 1.251629 	 0 	 
大外 	 6 	 1.459148 	 1.251629 	 0 	 
孤寂 	 6 	 1.459148 	 1.251629 	 0 	 
度规 	 6 	 1.459148 	 1.251629 	 0 	 
张东 	 6 	 1.459148 	 1.251629 	 0 	 
忙得 	 6 	 1.459148 	 1.251629 	 0 	 
既定 	 6 	 1.459148 	 1.251629 	 0 	 
校校 	 6 	 1.459148 	 1.251629 	 0 	 
清盘 	 6 	 1.459148 	 1.251629 	 0 	 
甲Ｂ 	 6 	 1.459148 	 1.251629 	 0 	 
百态 	 6 	 1.459148 	 1.251629 	 0 	 
知后 	 6 	 1.459148 	 1.251629 	 0 	 
节到 	 6 	 1.459148 	 1.251629 	 0 	 
词是 	 6 	 1.459148 	 1.251629 	 0 	 
贵重 	 6 	 1.459148 	 1.251629 	 0 	 
面反 	 6 	 1.459148 	 1.251629 	 0 	 
驹 	 6 	 1.459148 	 1.251629 	 0 	 
孟良崮 	 6 	 1.459148 	 1.000000 	 5.801697963604015e-05 	 
中反 	 6 	 1.459148 	 1.000000 	 0 	 
他心 	 6 	 1.459148 	 1.000000 	 0 	 
倍以 	 6 	 1.459148 	 1.000000 	 0 	 
力做 	 6 	 1.459148 	 1.000000 	 0 	 
国理 	 6 	 1.459148 	 1.000000 	 0 	 
工体 	 6 	 1.459148 	 1.000000 	 0 	 
年居 	 6 	 1.459148 	 1.000000 	 0 	 
抓基 	 6 	 1.459148 	 1.000000 	 0 	 
程结 	 6 	 1.459148 	 1.000000 	 0 	 
美经 	 6 	 1.459148 	 1.000000 	 0 	 
设标 	 6 	 1.459148 	 1.000000 	 0 	 
队改 	 6 	 1.459148 	 1.000000 	 0 	 
物理学家 	 6 	 1.251629 	 2.584963 	 0.0009827073587734207 	 
广东宏远队 	 6 	 1.251629 	 2.584963 	 0.0009556685812269946 	 
坚决制止 	 6 	 1.251629 	 2.584963 	 0.000657525769208455 	 
搭起的 	 6 	 1.251629 	 2.584963 	 0.0006342473514532538 	 
马万祺 	 6 	 1.251629 	 2.584963 	 0.0005893020987105189 	 
承担着 	 6 	 1.251629 	 2.584963 	 0.00029008489818020076 	 
昆明市 	 6 	 1.251629 	 2.584963 	 0.00020932669504484855 	 
档案局 	 6 	 1.251629 	 2.584963 	 6.070295091548645e-05 	 
姑娘们 	 6 	 1.251629 	 2.584963 	 4.619870600647641e-05 	 
栅栏的 	 6 	 1.251629 	 2.584963 	 4.440805848684555e-05 	 
下至 	 6 	 1.251629 	 2.584963 	 0 	 
不该 	 6 	 1.251629 	 2.584963 	 0 	 
与事 	 6 	 1.251629 	 2.584963 	 0 	 
业又 	 6 	 1.251629 	 2.584963 	 0 	 
个上 	 6 	 1.251629 	 2.584963 	 0 	 
个被 	 6 	 1.251629 	 2.584963 	 0 	 
之在 	 6 	 1.251629 	 2.584963 	 0 	 
以将 	 6 	 1.251629 	 2.584963 	 0 	 
以让 	 6 	 1.251629 	 2.584963 	 0 	 
任了 	 6 	 1.251629 	 2.584963 	 0 	 
位用 	 6 	 1.251629 	 2.584963 	 0 	 
余吨 	 6 	 1.251629 	 2.584963 	 0 	 
你也 	 6 	 1.251629 	 2.584963 	 0 	 
停在 	 6 	 1.251629 	 2.584963 	 0 	 
克对 	 6 	 1.251629 	 2.584963 	 0 	 
公然 	 6 	 1.251629 	 2.584963 	 0 	 
再作 	 6 	 1.251629 	 2.584963 	 0 	 
农的 	 6 	 1.251629 	 2.584963 	 0 	 
出方 	 6 	 1.251629 	 2.584963 	 0 	 
加不 	 6 	 1.251629 	 2.584963 	 0 	 
区市 	 6 	 1.251629 	 2.584963 	 0 	 
厉的 	 6 	 1.251629 	 2.584963 	 0 	 
后因 	 6 	 1.251629 	 2.584963 	 0 	 
后能 	 6 	 1.251629 	 2.584963 	 0 	 
员还 	 6 	 1.251629 	 2.584963 	 0 	 
圣的 	 6 	 1.251629 	 2.584963 	 0 	 
场后 	 6 	 1.251629 	 2.584963 	 0 	 
失和 	 6 	 1.251629 	 2.584963 	 0 	 
它为 	 6 	 1.251629 	 2.584963 	 0 	 
它应 	 6 	 1.251629 	 2.584963 	 0 	 
富于 	 6 	 1.251629 	 2.584963 	 0 	 
对制 	 6 	 1.251629 	 2.584963 	 0 	 
屋内 	 6 	 1.251629 	 2.584963 	 0 	 
工还 	 6 	 1.251629 	 2.584963 	 0 	 
很是 	 6 	 1.251629 	 2.584963 	 0 	 
房是 	 6 	 1.251629 	 2.584963 	 0 	 
托在 	 6 	 1.251629 	 2.584963 	 0 	 
批的 	 6 	 1.251629 	 2.584963 	 0 	 
旅居 	 6 	 1.251629 	 2.584963 	 0 	 
术对 	 6 	 1.251629 	 2.584963 	 0 	 
校是 	 6 	 1.251629 	 2.584963 	 0 	 
求将 	 6 	 1.251629 	 2.584963 	 0 	 
沈某 	 6 	 1.251629 	 2.584963 	 0 	 
活也 	 6 	 1.251629 	 2.584963 	 0 	 
活了 	 6 	 1.251629 	 2.584963 	 0 	 
现其 	 6 	 1.251629 	 2.584963 	 0 	 
用棉 	 6 	 1.251629 	 2.584963 	 0 	 
由大 	 6 	 1.251629 	 2.584963 	 0 	 
益之 	 6 	 1.251629 	 2.584963 	 0 	 
研的 	 6 	 1.251629 	 2.584963 	 0 	 
细细 	 6 	 1.251629 	 2.584963 	 0 	 
节是 	 6 	 1.251629 	 2.584963 	 0 	 
草棚 	 6 	 1.251629 	 2.584963 	 0 	 
营有 	 6 	 1.251629 	 2.584963 	 0 	 
虚的 	 6 	 1.251629 	 2.584963 	 0 	 
融会 	 6 	 1.251629 	 2.584963 	 0 	 
西药 	 6 	 1.251629 	 2.584963 	 0 	 
要能 	 6 	 1.251629 	 2.584963 	 0 	 
许会 	 6 	 1.251629 	 2.584963 	 0 	 
该段 	 6 	 1.251629 	 2.584963 	 0 	 
读来 	 6 	 1.251629 	 2.584963 	 0 	 
读着 	 6 	 1.251629 	 2.584963 	 0 	 
起去 	 6 	 1.251629 	 2.584963 	 0 	 
途经 	 6 	 1.251629 	 2.584963 	 0 	 
魄的 	 6 	 1.251629 	 2.584963 	 0 	 
先后从 	 6 	 1.251629 	 2.251629 	 0.0009964953446745784 	 
因特网上 	 6 	 1.251629 	 2.251629 	 0.0009062467096851827 	 
县委县政府 	 6 	 1.251629 	 2.251629 	 0.0008734778600759378 	 
艺术之 	 6 	 1.251629 	 2.251629 	 0.0008339940822680771 	 
难以想象的 	 6 	 1.251629 	 2.251629 	 0.0007773200882717601 	 
协调员罗斯 	 6 	 1.251629 	 2.251629 	 0.0006827738992352503 	 
围棋赛 	 6 	 1.251629 	 2.251629 	 0.0006704184313497972 	 
优异的成绩 	 6 	 1.251629 	 2.251629 	 0.0006408727472758879 	 
喜迎虎年 	 6 	 1.251629 	 2.251629 	 0.000558682026124831 	 
状态和 	 6 	 1.251629 	 2.251629 	 0.00047953540575714664 	 
石油部 	 6 	 1.251629 	 2.251629 	 0.00040558166319639176 	 
福州漆器 	 6 	 1.251629 	 2.251629 	 0.00029653122925087186 	 
审查起诉 	 6 	 1.251629 	 2.251629 	 0.00021756367363515055 	 
黑手党 	 6 	 1.251629 	 2.251629 	 0.00017566252167578822 	 
赵忠惠 	 6 	 1.251629 	 2.251629 	 0.00015847230548733188 	 
拍卖前 	 6 	 1.251629 	 2.251629 	 0.00012946381566931181 	 
一与 	 6 	 1.251629 	 2.251629 	 0 	 
一基 	 6 	 1.251629 	 2.251629 	 0 	 
一实 	 6 	 1.251629 	 2.251629 	 0 	 
三口 	 6 	 1.251629 	 2.251629 	 0 	 
下三 	 6 	 1.251629 	 2.251629 	 0 	 
个可 	 6 	 1.251629 	 2.251629 	 0 	 
中锋 	 6 	 1.251629 	 2.251629 	 0 	 
人林 	 6 	 1.251629 	 2.251629 	 0 	 
今冬 	 6 	 1.251629 	 2.251629 	 0 	 
代在 	 6 	 1.251629 	 2.251629 	 0 	 
们总 	 6 	 1.251629 	 2.251629 	 0 	 
作最 	 6 	 1.251629 	 2.251629 	 0 	 
先向 	 6 	 1.251629 	 2.251629 	 0 	 
入占 	 6 	 1.251629 	 2.251629 	 0 	 
关文 	 6 	 1.251629 	 2.251629 	 0 	 
再受 	 6 	 1.251629 	 2.251629 	 0 	 
初就 	 6 	 1.251629 	 2.251629 	 0 	 
到面 	 6 	 1.251629 	 2.251629 	 0 	 
刹住 	 6 	 1.251629 	 2.251629 	 0 	 
前只 	 6 	 1.251629 	 2.251629 	 0 	 
剩的 	 6 	 1.251629 	 2.251629 	 0 	 
动主 	 6 	 1.251629 	 2.251629 	 0 	 
化上 	 6 	 1.251629 	 2.251629 	 0 	 
化史 	 6 	 1.251629 	 2.251629 	 0 	 
协在 	 6 	 1.251629 	 2.251629 	 0 	 
及军 	 6 	 1.251629 	 2.251629 	 0 	 
台一 	 6 	 1.251629 	 2.251629 	 0 	 
向管 	 6 	 1.251629 	 2.251629 	 0 	 
员各 	 6 	 1.251629 	 2.251629 	 0 	 
员或 	 6 	 1.251629 	 2.251629 	 0 	 
场来 	 6 	 1.251629 	 2.251629 	 0 	 
天祥 	 6 	 1.251629 	 2.251629 	 0 	 
婚姻 	 6 	 1.251629 	 2.251629 	 0 	 
对长 	 6 	 1.251629 	 2.251629 	 0 	 
寿的 	 6 	 1.251629 	 2.251629 	 0 	 
尔市 	 6 	 1.251629 	 2.251629 	 0 	 
展海 	 6 	 1.251629 	 2.251629 	 0 	 
并报 	 6 	 1.251629 	 2.251629 	 0 	 
忧的 	 6 	 1.251629 	 2.251629 	 0 	 
教派 	 6 	 1.251629 	 2.251629 	 0 	 
施大 	 6 	 1.251629 	 2.251629 	 0 	 
既保 	 6 	 1.251629 	 2.251629 	 0 	 
旧岁 	 6 	 1.251629 	 2.251629 	 0 	 
暴的 	 6 	 1.251629 	 2.251629 	 0 	 
期看 	 6 	 1.251629 	 2.251629 	 0 	 
木本 	 6 	 1.251629 	 2.251629 	 0 	 
梁和 	 6 	 1.251629 	 2.251629 	 0 	 
椰枣 	 6 	 1.251629 	 2.251629 	 0 	 
止对 	 6 	 1.251629 	 2.251629 	 0 	 
民反 	 6 	 1.251629 	 2.251629 	 0 	 
渐成 	 6 	 1.251629 	 2.251629 	 0 	 
王怀 	 6 	 1.251629 	 2.251629 	 0 	 
生这 	 6 	 1.251629 	 2.251629 	 0 	 
由该 	 6 	 1.251629 	 2.251629 	 0 	 
画了 	 6 	 1.251629 	 2.251629 	 0 	 
盖茨 	 6 	 1.251629 	 2.251629 	 0 	 
着年 	 6 	 1.251629 	 2.251629 	 0 	 
程在 	 6 	 1.251629 	 2.251629 	 0 	 
笔芯 	 6 	 1.251629 	 2.251629 	 0 	 
素以 	 6 	 1.251629 	 2.251629 	 0 	 
罗世 	 6 	 1.251629 	 2.251629 	 0 	 
联与 	 6 	 1.251629 	 2.251629 	 0 	 
脑中 	 6 	 1.251629 	 2.251629 	 0 	 
英里 	 6 	 1.251629 	 2.251629 	 0 	 
行过 	 6 	 1.251629 	 2.251629 	 0 	 
要办 	 6 	 1.251629 	 2.251629 	 0 	 
记中 	 6 	 1.251629 	 2.251629 	 0 	 
记为 	 6 	 1.251629 	 2.251629 	 0 	 
该报 	 6 	 1.251629 	 2.251629 	 0 	 
质有 	 6 	 1.251629 	 2.251629 	 0 	 
过专 	 6 	 1.251629 	 2.251629 	 0 	 
连一 	 6 	 1.251629 	 2.251629 	 0 	 
送子 	 6 	 1.251629 	 2.251629 	 0 	 
部更 	 6 	 1.251629 	 2.251629 	 0 	 
重塑 	 6 	 1.251629 	 2.251629 	 0 	 
钱都 	 6 	 1.251629 	 2.251629 	 0 	 
陈玉 	 6 	 1.251629 	 2.251629 	 0 	 
非但 	 6 	 1.251629 	 2.251629 	 0 	 
面更 	 6 	 1.251629 	 2.251629 	 0 	 
额中 	 6 	 1.251629 	 2.251629 	 0 	 
瞿 	 6 	 1.251629 	 2.251629 	 0 	 
如何看待 	 6 	 1.251629 	 1.918296 	 0.0009717844089036725 	 
李道豫大使 	 6 	 1.251629 	 1.918296 	 0.00073380735354473 	 
观察家 	 6 	 1.251629 	 1.918296 	 0.0007176915258680522 	 
夜幕降临 	 6 	 1.251629 	 1.918296 	 0.00017996007572290232 	 
莫桑比克 	 6 	 1.251629 	 1.918296 	 0.00012033151331919439 	 
脂肪酸 	 6 	 1.251629 	 1.918296 	 9.669496606006692e-06 	 
三岁 	 6 	 1.251629 	 1.918296 	 0 	 
个面 	 6 	 1.251629 	 1.918296 	 0 	 
互致 	 6 	 1.251629 	 1.918296 	 0 	 
以向 	 6 	 1.251629 	 1.918296 	 0 	 
会用 	 6 	 1.251629 	 1.918296 	 0 	 
名以 	 6 	 1.251629 	 1.918296 	 0 	 
员发 	 6 	 1.251629 	 1.918296 	 0 	 
地注 	 6 	 1.251629 	 1.918296 	 0 	 
市特 	 6 	 1.251629 	 1.918296 	 0 	 
持我 	 6 	 1.251629 	 1.918296 	 0 	 
机产 	 6 	 1.251629 	 1.918296 	 0 	 
材生 	 6 	 1.251629 	 1.918296 	 0 	 
法多 	 6 	 1.251629 	 1.918296 	 0 	 
洲将 	 6 	 1.251629 	 1.918296 	 0 	 
社评 	 6 	 1.251629 	 1.918296 	 0 	 
算中 	 6 	 1.251629 	 1.918296 	 0 	 
能等 	 6 	 1.251629 	 1.918296 	 0 	 
蜿蜒 	 6 	 1.251629 	 1.918296 	 0 	 
该分 	 6 	 1.251629 	 1.918296 	 0 	 
资与 	 6 	 1.251629 	 1.918296 	 0 	 
费分摊 	 6 	 1.251629 	 1.792481 	 0.0008621967807022633 	 
布莱尔的 	 6 	 1.251629 	 1.792481 	 0.0005635167744278344 	 
轰轰烈烈 	 6 	 1.251629 	 1.792481 	 2.9008489818020075e-05 	 
不辞 	 6 	 1.251629 	 1.792481 	 0 	 
与死 	 6 	 1.251629 	 1.792481 	 0 	 
中澳 	 6 	 1.251629 	 1.792481 	 0 	 
为澳 	 6 	 1.251629 	 1.792481 	 0 	 
些工 	 6 	 1.251629 	 1.792481 	 0 	 
以追 	 6 	 1.251629 	 1.792481 	 0 	 
体同 	 6 	 1.251629 	 1.792481 	 0 	 
入抗 	 6 	 1.251629 	 1.792481 	 0 	 
关不 	 6 	 1.251629 	 1.792481 	 0 	 
内同 	 6 	 1.251629 	 1.792481 	 0 	 
初露 	 6 	 1.251629 	 1.792481 	 0 	 
利马 	 6 	 1.251629 	 1.792481 	 0 	 
务有 	 6 	 1.251629 	 1.792481 	 0 	 
化总 	 6 	 1.251629 	 1.792481 	 0 	 
员所 	 6 	 1.251629 	 1.792481 	 0 	 
味浓 	 6 	 1.251629 	 1.792481 	 0 	 
商周 	 6 	 1.251629 	 1.792481 	 0 	 
国富 	 6 	 1.251629 	 1.792481 	 0 	 
大勇 	 6 	 1.251629 	 1.792481 	 0 	 
天没 	 6 	 1.251629 	 1.792481 	 0 	 
女在 	 6 	 1.251629 	 1.792481 	 0 	 
学养 	 6 	 1.251629 	 1.792481 	 0 	 
家独 	 6 	 1.251629 	 1.792481 	 0 	 
寄信 	 6 	 1.251629 	 1.792481 	 0 	 
工出 	 6 	 1.251629 	 1.792481 	 0 	 
工增 	 6 	 1.251629 	 1.792481 	 0 	 
市最 	 6 	 1.251629 	 1.792481 	 0 	 
得他 	 6 	 1.251629 	 1.792481 	 0 	 
成败 	 6 	 1.251629 	 1.792481 	 0 	 
才成 	 6 	 1.251629 	 1.792481 	 0 	 
抑或 	 6 	 1.251629 	 1.792481 	 0 	 
整一 	 6 	 1.251629 	 1.792481 	 0 	 
方会 	 6 	 1.251629 	 1.792481 	 0 	 
日会 	 6 	 1.251629 	 1.792481 	 0 	 
景中 	 6 	 1.251629 	 1.792481 	 0 	 
本集 	 6 	 1.251629 	 1.792481 	 0 	 
术基 	 6 	 1.251629 	 1.792481 	 0 	 
权对 	 6 	 1.251629 	 1.792481 	 0 	 
村口 	 6 	 1.251629 	 1.792481 	 0 	 
楼大 	 6 	 1.251629 	 1.792481 	 0 	 
气以 	 6 	 1.251629 	 1.792481 	 0 	 
水族 	 6 	 1.251629 	 1.792481 	 0 	 
沉着 	 6 	 1.251629 	 1.792481 	 0 	 
湾等 	 6 	 1.251629 	 1.792481 	 0 	 
现那 	 6 	 1.251629 	 1.792481 	 0 	 
用本 	 6 	 1.251629 	 1.792481 	 0 	 
留情 	 6 	 1.251629 	 1.792481 	 0 	 
程有 	 6 	 1.251629 	 1.792481 	 0 	 
续上 	 6 	 1.251629 	 1.792481 	 0 	 
而至 	 6 	 1.251629 	 1.792481 	 0 	 
萍乡 	 6 	 1.251629 	 1.792481 	 0 	 
调与 	 6 	 1.251629 	 1.792481 	 0 	 
身世 	 6 	 1.251629 	 1.792481 	 0 	 
门从 	 6 	 1.251629 	 1.792481 	 0 	 
顿中 	 6 	 1.251629 	 1.792481 	 0 	 
旧机电产品 	 6 	 1.251629 	 1.584963 	 0.0004920699383945627 	 
临别 	 6 	 1.251629 	 1.584963 	 0 	 
匠心 	 6 	 1.251629 	 1.584963 	 0 	 
懂事 	 6 	 1.251629 	 1.584963 	 0 	 
霸王 	 6 	 1.251629 	 1.584963 	 0 	 
蝇 	 6 	 1.251629 	 1.584963 	 0 	 
难以忘怀 	 6 	 1.251629 	 1.459148 	 0.0007773200882717601 	 
德艺双馨 	 6 	 1.251629 	 1.459148 	 0.0006000459838283041 	 
历史功 	 6 	 1.251629 	 1.459148 	 0.0005882277101987404 	 
